AUD	Австралийский доллар
AZN	Азербайджанский манат
AMD	Армянских драмов
BYN	Белорусский рубль
BGN	Болгарский лев
BRL	Бразильский реал
HUF	Венгерских форинтов
KRW	Вон Республики Корея
VND	Вьетнамских донгов
HKD	Гонконгский доллар
GEL	Грузинский лари
DKK	Датская крона
AED	Дирхам ОАЭ
USD	Доллар США
EUR	Евро
EGP	Египетских фунтов
INR	Индийских рупий
IDR	Индонезийских рупий
KZT	Казахстанских тенге
CAD	Канадский доллар
QAR	Катарский риал
KGS	Киргизских сомов
CNY	Китайский юань
MDL	Молдавских леев
NZD	Новозеландский доллар
TMT	Новый туркменский манат
NOK	Норвежских крон
PLN	Польский злотый
RON	Румынский лей
XDR	СДР (специальные права заимствования)
RSD	Сербских динаров
SGD	Сингапурский доллар
TJS	Таджикских сомони
THB	Таиландских батов
TRY	Турецких лир
UZS	Узбекских сумов
UAH	Украинских гривен
GBP	Фунт стерлингов Соединенного королевства
CZK	Чешских крон
SEK	Шведских крон
CHF	Швейцарский франк
ZAR	Южноафриканских рэндов
JPY	Японских иен
